config,direction,threshold_kind,threshold_value,median_threshold_vox,scorable,excluded,hop_correct,wrong_hop,wrong_adjacent_wrap_identity,correct_wrap_distance_miss,hop_correct_pct,wrong_hop_pct,wrong_wrap_pct,distance_miss_pct,median_expected_dist_vox,p90_expected_dist_vox,median_local_gap_vox
native,front,gap_fraction,0.25,2.792,4697,5303,741,3956,0,3956,15.776,84.224,0.000,84.224,7.695,12.390,11.168
native,front,gap_fraction,0.5,5.584,4697,5303,1730,2967,0,2967,36.832,63.168,0.000,63.168,7.695,12.390,11.168
native,front,gap_fraction,0.75,8.376,4697,5303,2667,2030,0,2030,56.781,43.219,0.000,43.219,7.695,12.390,11.168
native,front,gap_fraction,1.0,11.168,4697,5303,3458,1239,0,1239,73.621,26.379,0.000,26.379,7.695,12.390,11.168
native,front,gap_fraction,1.5,16.751,4697,5303,4454,243,0,243,94.826,5.174,0.000,5.174,7.695,12.390,11.168
native,front,fixed_vox,2,2.000,4697,5303,448,4249,0,4249,9.538,90.462,0.000,90.462,7.695,12.390,11.168
native,front,fixed_vox,4,4.000,4697,5303,1122,3575,0,3575,23.888,76.112,0.000,76.112,7.695,12.390,11.168
native,front,fixed_vox,6,6.000,4697,5303,1825,2872,0,2872,38.855,61.145,0.000,61.145,7.695,12.390,11.168
native,front,fixed_vox,8,8.000,4697,5303,2438,2259,0,2259,51.905,48.095,0.000,48.095,7.695,12.390,11.168
native,front,fixed_vox,10,10.000,4697,5303,3197,1500,0,1500,68.065,31.935,0.000,31.935,7.695,12.390,11.168
native,front,fixed_vox,12,12.000,4697,5303,4145,552,0,552,88.248,11.752,0.000,11.752,7.695,12.390,11.168
native,front,fixed_vox,16,16.000,4697,5303,4631,66,0,66,98.595,1.405,0.000,1.405,7.695,12.390,11.168
native,front,fixed_vox,24,24.000,4697,5303,4697,0,0,0,100.000,0.000,0.000,0.000,7.695,12.390,11.168
native,front,fixed_vox,32,32.000,4697,5303,4697,0,0,0,100.000,0.000,0.000,0.000,7.695,12.390,11.168
native,front,fixed_um,25,3.161,4697,5303,866,3831,0,3831,18.437,81.563,0.000,81.563,7.695,12.390,11.168
native,front,fixed_um,50,6.321,4697,5303,1932,2765,0,2765,41.133,58.867,0.000,58.867,7.695,12.390,11.168
native,front,fixed_um,75,9.482,4697,5303,3001,1696,0,1696,63.892,36.108,0.000,36.108,7.695,12.390,11.168
native,front,fixed_um,100,12.642,4697,5303,4274,423,0,423,90.994,9.006,0.000,9.006,7.695,12.390,11.168
native,front,fixed_um,150,18.963,4697,5303,4697,0,0,0,100.000,0.000,0.000,0.000,7.695,12.390,11.168
native,front,fixed_um,200,25.284,4697,5303,4697,0,0,0,100.000,0.000,0.000,0.000,7.695,12.390,11.168
native,back,gap_fraction,0.25,2.202,8697,1303,1564,7133,0,7133,17.983,82.017,0.000,82.017,5.205,7.688,8.806
native,back,gap_fraction,0.5,4.403,8697,1303,3802,4895,0,4895,43.716,56.284,0.000,56.284,5.205,7.688,8.806
native,back,gap_fraction,0.75,6.605,8697,1303,5665,3032,0,3032,65.137,34.863,0.000,34.863,5.205,7.688,8.806
native,back,gap_fraction,1.0,8.806,8697,1303,7087,1610,0,1610,81.488,18.512,0.000,18.512,5.205,7.688,8.806
native,back,gap_fraction,1.5,13.209,8697,1303,8429,268,0,268,96.918,3.082,0.000,3.082,5.205,7.688,8.806
native,back,fixed_vox,2,2.000,8697,1303,1008,7689,0,7689,11.590,88.410,0.000,88.410,5.205,7.688,8.806
native,back,fixed_vox,4,4.000,8697,1303,2832,5865,0,5865,32.563,67.437,0.000,67.437,5.205,7.688,8.806
native,back,fixed_vox,6,6.000,8697,1303,5444,3253,0,3253,62.596,37.404,0.000,37.404,5.205,7.688,8.806
native,back,fixed_vox,8,8.000,8697,1303,8027,670,0,670,92.296,7.704,0.000,7.704,5.205,7.688,8.806
native,back,fixed_vox,10,10.000,8697,1303,8625,72,0,72,99.172,0.828,0.000,0.828,5.205,7.688,8.806
native,back,fixed_vox,12,12.000,8697,1303,8697,0,0,0,100.000,0.000,0.000,0.000,5.205,7.688,8.806
native,back,fixed_vox,16,16.000,8697,1303,8697,0,0,0,100.000,0.000,0.000,0.000,5.205,7.688,8.806
native,back,fixed_vox,24,24.000,8697,1303,8697,0,0,0,100.000,0.000,0.000,0.000,5.205,7.688,8.806
native,back,fixed_vox,32,32.000,8697,1303,8697,0,0,0,100.000,0.000,0.000,0.000,5.205,7.688,8.806
native,back,fixed_um,25,3.161,8697,1303,2028,6669,0,6669,23.318,76.682,0.000,76.682,5.205,7.688,8.806
native,back,fixed_um,50,6.321,8697,1303,5834,2863,0,2863,67.081,32.919,0.000,32.919,5.205,7.688,8.806
native,back,fixed_um,75,9.482,8697,1303,8472,225,0,225,97.413,2.587,0.000,2.587,5.205,7.688,8.806
native,back,fixed_um,100,12.642,8697,1303,8697,0,0,0,100.000,0.000,0.000,0.000,5.205,7.688,8.806
native,back,fixed_um,150,18.963,8697,1303,8697,0,0,0,100.000,0.000,0.000,0.000,5.205,7.688,8.806
native,back,fixed_um,200,25.284,8697,1303,8697,0,0,0,100.000,0.000,0.000,0.000,5.205,7.688,8.806
